Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31
Beta_1.0,u_001,108,192,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,3,1,1,2,0,0,0,0,0,0,0,7,1,2,3,0,3,1,3,0,1,0,0,2,0,2,5,6,50,386,145
Beta_1.0,u_002,122,189,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,5,2,0,0,0,0,2,1,1,3,1,1,1,0,0,1,2,6,0,4,1,0,1,0,0,1,0,51,363,218
Beta_1.0,u_003,91,212,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,4,0,4,1,0,1,0,1,1,1,4,1,0,0,1,1,1,0,0,0,7,3,5,1,42,407,207
Beta_1.0,u_004,83,185,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,1,1,0,3,0,3,2,1,0,1,0,2,2,1,5,2,2,1,4,1,8,32,418,195
Beta_1.0,u_005,104,155,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,5,3,4,4,1,5,1,1,1,5,2,37,385,198
Beta_1.0,u_006,91,163,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,2,2,0,0,2,1,1,1,1,0,0,2,4,1,4,3,4,37,389,191
Beta_1.0,u_007,96,164,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,8,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,3,2,0,2,0,0,1,1,3,0,2,40,419,191
Beta_1.0,u_008,84,144,8,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,2,3,3,0,0,0,3,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,1,5,3,0,2,1,30,422,201
Beta_1.0,u_009,108,135,10,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,2,2,1,0,0,1,0,0,0,1,0,4,1,0,0,0,1,2,0,0,3,0,1,0,2,1,2,1,40,445,202
Beta_1.0,u_010,104,161,6,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2,3,0,2,1,2,1,1,2,4,1,25,470,171
