Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33
Beta_1.0,u_001,99,199,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,1,0,2,1,0,0,0,0,0,0,2,5,1,3,2,0,3,1,2,1,0,1,0,1,1,0,3,8,2,70,390,121
Beta_1.0,u_002,109,201,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,4,3,0,0,0,0,0,3,1,2,1,2,0,1,0,0,1,2,6,0,2,3,0,1,0,0,0,1,1,64,373,194
Beta_1.0,u_003,84,218,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,3,2,3,0,0,1,0,1,1,1,4,1,0,0,0,1,2,0,0,0,1,8,2,4,4,52,414,187
Beta_1.0,u_004,77,188,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,3,1,2,2,1,0,1,0,1,3,1,5,1,2,1,3,3,0,11,48,427,167
Beta_1.0,u_005,88,168,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,5,2,4,4,1,4,2,1,2,0,5,3,54,399,166
Beta_1.0,u_006,83,166,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,2,2,0,0,2,1,1,1,0,1,0,1,1,4,2,5,1,7,44,399,171
Beta_1.0,u_007,84,173,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,8,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,3,2,0,2,0,0,0,1,1,3,0,4,48,428,172
Beta_1.0,u_008,81,142,13,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,3,3,0,0,0,1,2,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,1,1,7,0,2,0,2,37,442,173
Beta_1.0,u_009,97,145,11,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,2,2,1,0,0,0,1,0,0,0,1,1,4,0,0,0,0,1,1,1,0,1,2,0,1,2,1,0,2,3,48,467,170
Beta_1.0,u_010,87,175,9,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3,1,0,3,1,1,1,1,2,4,1,39,483,144
Beta_1.0,u_011,83,202,8,1,0,1,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,1,0,1,0,0,0,0,2,1,0,0,1,0,1,1,1,0,0,4,3,0,1,4,42,491,130
Beta_1.0,u_012,74,201,9,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,2,0,4,0,1,1,1,1,0,0,0,5,0,1,63,438,124
Beta_1.0,u_013,88,184,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,7,1,1,0,0,1,0,0,1,1,0,0,0,2,2,1,1,0,1,4,1,3,1,2,1,1,2,4,44,431,151
Beta_1.0,u_014,94,186,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,6,3,0,2,0,1,0,1,0,1,0,1,0,2,1,1,4,5,1,2,3,3,4,62,390,135
Beta_1.0,u_015,90,185,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,3,1,0,2,2,0,0,0,0,1,0,0,0,1,8,2,2,4,1,0,2,2,0,1,0,1,0,3,3,4,78,378,166
Beta_1.0,u_016,107,207,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,3,2,0,0,0,2,0,3,2,1,0,1,1,1,1,0,0,0,1,1,9,2,2,0,0,3,1,1,69,388,174
Beta_1.0,u_017,88,212,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,1,3,3,0,0,1,0,3,0,0,4,1,1,0,0,3,2,0,0,0,0,1,12,7,56,429,170
Beta_1.0,u_018,99,183,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,3,1,2,5,1,0,0,1,0,2,2,1,6,2,2,1,1,4,7,55,453,131
Beta_1.0,u_019,101,182,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,1,1,2,6,2,2,5,2,2,1,1,1,0,8,55,412,178
Beta_1.0,u_020,88,186,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,2,0,1,2,1,0,1,0,2,1,1,2,5,1,4,4,4,41,428,143
Beta_1.0,u_021,79,178,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,3,3,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,2,0,1,2,1,1,0,0,0,1,1,3,5,35,436,145
Beta_1.0,u_022,85,152,9,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,3,2,0,0,1,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,1,2,2,0,3,0,2,0,36,449,168
Beta_1.0,u_023,90,143,10,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,4,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,3,1,0,1,2,2,1,4,30,479,178
Beta_1.0,u_024,91,189,6,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,1,1,2,0,2,2,5,2,32,470,170
Beta_1.0,u_025,65,221,4,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,2,0,1,3,3,2,3,0,1,4,45,470,137
Beta_1.0,u_026,90,190,4,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,3,1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,0,0,3,0,1,1,1,1,1,0,1,7,57,429,135
Beta_1.0,u_027,85,196,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,6,1,1,1,0,0,0,0,0,0,1,1,1,1,3,1,1,1,1,3,2,0,3,1,0,8,44,430,121
Beta_1.0,u_028,109,172,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0,0,0,0,0,0,0,5,3,1,0,1,1,1,0,0,0,2,0,0,2,4,5,1,0,3,3,2,61,408,139
Beta_1.0,u_029,130,165,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,1,0,0,5,0,1,0,1,0,0,0,1,0,0,1,3,7,2,0,1,2,1,0,0,0,2,2,1,5,80,375,162
Beta_1.0,u_030,138,195,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,1,0,1,5,0,1,0,1,0,2,1,0,1,2,1,0,1,6,2,0,2,0,4,61,424,165
Beta_1.0,u_031,98,207,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,1,2,0,0,2,2,2,0,0,5,0,1,0,0,0,2,1,2,0,1,2,12,48,467,143
Beta_1.0,u_032,81,197,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,8,0,0,2,2,0,1,2,0,4,1,2,5,1,1,2,4,12,43,477,127
Beta_1.0,u_033,84,204,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,9,5,1,4,4,1,0,1,2,2,12,45,429,171
Beta_1.0,u_034,92,182,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,1,0,1,2,0,2,8,5,4,8,38,413,168
Beta_1.0,u_035,71,177,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,4,2,33,387,185
Beta_1.0,u_036,89,154,12,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,2,1,0,0,0,1,2,3,41,414,200
Beta_1.0,u_037,92,156,12,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,3,0,0,3,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,3,1,0,1,4,1,3,33,498,182
Beta_1.0,u_038,82,181,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,3,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,3,2,2,2,5,1,34,494,131
Beta_1.0,u_039,71,218,6,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,2,6,0,1,1,2,1,0,3,2,0,0,1,1,2,3,39,471,116
Beta_1.0,u_040,102,189,1,3,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,1,2,0,0,0,0,0,0,0,0,2,0,0,2,2,1,2,1,0,2,8,1,3,0,0,0,2,3,52,446,118
Beta_1.0,u_041,109,165,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,4,2,1,2,0,0,0,0,0,1,1,1,2,1,2,0,1,1,2,2,5,0,1,11,7,55,435,125
Beta_1.0,u_042,115,156,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,5,1,0,0,0,1,0,1,0,1,0,6,1,0,2,1,0,2,0,0,0,0,5,4,1,3,2,2,2,63,421,160
Beta_1.0,u_043,119,183,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,4,2,1,1,0,4,0,1,0,0,1,1,0,0,0,0,3,1,1,4,2,2,2,1,0,1,1,0,0,7,71,385,198
Beta_1.0,u_044,105,218,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,3,1,3,0,0,0,2,2,1,5,0,1,0,1,0,2,2,1,0,0,0,0,1,0,4,1,3,4,65,448,149
Beta_1.0,u_045,75,230,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,2,3,3,0,1,1,0,3,0,0,5,0,1,0,0,1,4,1,1,2,2,7,48,502,127
Beta_1.0,u_046,76,222,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,5,1,2,3,0,5,4,0,0,3,1,5,0,1,5,1,2,3,10,38,453,135
Beta_1.0,u_047,75,194,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,2,5,3,4,5,3,2,0,1,5,8,47,406,188
Beta_1.0,u_048,82,192,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,1,2,6,0,6,4,11,40,413,161
Beta_1.0,u_049,83,187,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,4,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,5,0,3,34,408,181
Beta_1.0,u_050,112,159,7,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,1,0,6,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,2,1,4,36,451,191
Beta_1.0,u_051,93,178,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,3,0,0,2,1,1,0,1,0,0,2,1,0,0,0,0,0,1,1,1,0,0,1,3,2,0,1,5,0,33,524,143
Beta_1.0,u_052,71,206,7,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,4,0,0,2,2,0,0,4,0,2,2,3,32,499,114
