Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36
Beta_1.0,u_001,85,211,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,2,0,2,1,0,0,0,0,0,0,0,1,6,1,1,4,0,1,2,1,2,1,0,1,0,1,1,0,1,5,6,6,90,385,101
Beta_1.0,u_002,87,220,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,3,0,0,0,0,0,1,2,1,2,1,1,1,0,1,0,0,1,2,6,0,2,3,0,1,0,0,0,1,0,6,86,375,165
Beta_1.0,u_003,75,223,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,3,2,0,0,1,0,1,1,1,3,1,1,0,0,1,0,2,0,0,0,0,7,3,3,2,12,76,407,162
Beta_1.0,u_004,69,191,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,3,0,2,2,2,0,0,1,0,2,2,1,4,2,2,1,1,4,1,3,9,86,431,124
Beta_1.0,u_005,70,180,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,1,4,3,4,3,1,3,3,1,1,1,2,4,8,77,399,137
Beta_1.0,u_006,63,176,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,2,2,0,0,1,1,1,1,1,0,1,0,1,1,4,1,3,4,1,9,68,407,136
Beta_1.0,u_007,67,185,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,6,3,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,4,1,0,2,0,0,0,1,1,3,0,1,10,69,433,139
Beta_1.0,u_008,74,144,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,2,3,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,1,0,0,1,1,4,3,0,2,0,3,64,447,140
Beta_1.0,u_009,84,148,21,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,2,2,0,1,0,0,1,0,0,0,0,1,0,4,1,0,0,0,1,1,1,0,0,1,2,0,1,0,2,1,1,1,10,63,489,126
Beta_1.0,u_010,75,182,13,1,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,2,1,2,1,1,1,5,0,5,77,473,112
Beta_1.0,u_011,62,219,11,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0,1,1,1,0,0,3,3,1,1,1,3,77,490,96
Beta_1.0,u_012,65,206,11,2,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,2,0,1,1,0,0,0,0,0,2,0,1,0,0,1,2,2,0,1,3,0,1,1,1,1,0,0,0,3,2,0,2,101,439,84
