Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37
Beta_1.0,u_001,80,213,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,2,0,2,1,0,0,0,0,0,0,0,0,6,2,0,3,2,0,1,3,1,2,0,1,0,0,1,1,0,2,4,6,8,105,375,94
Beta_1.0,u_002,84,221,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,3,0,0,0,0,0,0,3,1,0,3,0,2,0,1,0,0,1,2,3,3,0,3,2,0,1,0,0,0,1,0,7,100,371,154
Beta_1.0,u_003,73,223,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,3,2,0,0,1,0,1,0,1,1,4,1,0,0,0,1,1,1,0,0,0,1,6,3,4,1,14,88,400,155
Beta_1.0,u_004,68,185,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,3,0,2,2,2,0,0,1,0,1,1,2,1,5,1,2,1,2,3,1,4,10,98,428,113
Beta_1.0,u_005,62,185,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,5,1,2,5,2,1,4,2,1,1,1,3,4,7,95,386,132
Beta_1.0,u_006,59,176,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,2,2,0,0,2,1,1,0,1,1,0,0,1,1,4,1,4,3,1,10,82,402,126
Beta_1.0,u_007,63,186,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,5,4,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,3,2,0,2,0,0,0,0,1,1,3,0,1,10,81,425,135
Beta_1.0,u_008,73,141,22,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,3,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,7,0,0,2,0,3,74,445,132
Beta_1.0,u_009,82,147,24,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,2,2,0,1,0,0,0,1,0,0,0,1,0,3,2,0,0,0,0,1,1,1,0,0,2,1,0,1,2,0,1,1,1,13,81,490,104
Beta_1.0,u_010,70,187,13,1,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,2,1,2,0,1,1,2,4,0,6,87,480,94
Beta_1.0,u_011,59,219,14,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,2,1,0,0,0,4,3,0,1,1,3,93,484,86
Beta_1.0,u_012,62,208,11,3,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,0,1,1,0,0,0,0,0,1,1,1,0,0,1,2,0,2,0,2,2,1,0,1,1,1,0,0,0,4,1,0,5,109,436,76
Beta_1.0,u_013,70,188,19,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,7,1,0,0,0,1,0,0,1,1,0,0,0,1,1,2,1,1,0,0,4,2,1,2,1,2,0,2,2,1,4,87,425,113
Beta_1.0,u_014,83,191,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,7,2,0,2,0,1,0,0,1,0,1,0,1,0,0,2,2,2,3,3,2,1,3,2,4,3,107,377,102
Beta_1.0,u_015,75,195,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,2,0,0,4,0,0,0,0,0,1,0,0,0,0,1,9,1,2,2,2,1,1,1,2,0,1,0,1,0,2,1,4,12,121,348,144
Beta_1.0,u_016,75,232,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,2,0,3,2,0,1,0,1,1,1,0,1,0,0,0,2,8,1,2,2,0,0,1,3,0,8,112,372,140
Beta_1.0,u_017,67,231,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,1,3,3,0,0,1,0,1,2,0,0,4,1,1,0,0,1,3,1,0,0,0,0,1,10,5,18,88,430,123
Beta_1.0,u_018,82,193,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,3,1,4,3,1,0,0,1,0,1,2,2,0,6,2,2,1,0,3,5,8,95,437,103
Beta_1.0,u_019,87,183,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,0,1,1,2,4,2,3,4,2,3,1,1,0,2,0,4,11,93,416,129
Beta_1.0,u_020,67,191,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,2,1,0,1,2,1,0,0,1,0,2,1,1,2,5,1,3,5,2,7,86,418,103
Beta_1.0,u_021,65,181,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,2,0,0,3,0,1,1,0,0,0,1,0,4,1,6,66,434,114
Beta_1.0,u_022,73,153,20,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,2,3,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,3,1,0,2,1,1,1,2,71,468,112
Beta_1.0,u_023,73,152,18,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,2,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,3,1,2,1,6,76,510,98
Beta_1.0,u_024,63,205,17,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,2,0,1,2,4,3,4,69,477,123
Beta_1.0,u_025,45,229,14,2,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,1,3,3,2,3,0,0,2,5,95,457,98
Beta_1.0,u_026,68,206,9,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,3,0,0,2,1,1,0,1,1,1,1,0,0,4,7,105,409,104
Beta_1.0,u_027,67,206,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,7,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,3,1,0,1,1,1,3,2,0,3,1,0,3,7,91,405,97
Beta_1.0,u_028,81,195,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,0,0,0,0,0,0,0,0,1,7,1,0,1,0,1,1,0,0,0,2,0,0,0,2,4,5,1,0,2,2,2,3,114,381,112
Beta_1.0,u_029,96,194,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,1,0,0,1,4,1,0,0,1,0,0,0,1,0,0,0,1,2,8,2,0,0,1,2,1,0,0,0,1,2,1,4,10,129,347,133
Beta_1.0,u_030,101,229,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,0,0,0,1,0,1,4,1,0,1,0,1,0,2,1,0,0,1,3,0,0,2,5,2,0,1,1,1,14,97,419,123
Beta_1.0,u_031,95,207,5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,1,0,3,0,0,0,3,2,1,0,0,4,1,0,1,0,0,0,3,0,1,1,1,2,3,19,90,468,90
Beta_1.0,u_032,75,200,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,7,0,0,2,2,0,1,1,1,2,2,1,2,5,1,1,2,2,4,12,93,455,97
