Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38
Beta_1.0,u_001,75,217,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,2,0,1,2,0,0,0,0,0,0,0,0,3,4,1,1,4,0,1,2,1,2,1,0,1,0,0,2,0,0,2,4,6,9,127,366,80
Beta_1.0,u_002,76,224,14,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,3,0,0,0,0,0,0,2,1,1,2,1,2,0,1,0,0,0,1,2,6,0,1,4,0,0,1,0,0,0,1,0,10,119,358,145
Beta_1.0,u_003,69,223,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,2,2,1,0,1,0,0,1,1,1,3,1,1,0,0,0,1,1,1,0,0,0,1,7,2,5,0,18,91,400,148
Beta_1.0,u_004,65,186,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,2,1,1,2,2,1,0,0,1,0,1,3,0,3,3,2,1,1,3,2,1,6,10,111,425,101
Beta_1.0,u_005,59,183,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,5,1,4,3,3,1,3,2,2,0,1,4,3,7,105,383,125
Beta_1.0,u_006,47,185,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,2,2,0,0,1,1,1,1,1,0,1,0,0,2,3,1,1,4,3,2,11,99,396,113
Beta_1.0,u_007,59,187,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,5,4,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,3,2,0,2,0,0,0,0,1,1,3,0,1,10,90,423,128
Beta_1.0,u_008,71,139,26,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,3,2,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,2,6,0,0,2,0,4,80,445,125
Beta_1.0,u_009,81,145,27,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,3,0,1,0,0,0,1,0,0,0,1,0,1,4,0,0,0,0,1,0,1,1,0,0,3,0,1,0,2,1,0,1,1,14,96,488,90
Beta_1.0,u_010,68,183,19,1,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,2,1,2,0,1,1,2,4,0,7,101,469,90
