Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39
Beta_1.0,u_001,70,220,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,2,0,1,2,0,0,0,0,0,0,0,0,1,6,1,1,3,1,0,1,3,1,2,0,0,1,0,0,2,0,0,2,6,4,13,139,364,66
Beta_1.0,u_002,71,225,18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,3,0,0,0,0,0,0,2,1,1,2,1,0,2,0,1,0,0,1,2,1,5,0,2,3,0,0,1,0,0,0,1,0,16,131,347,138
Beta_1.0,u_003,65,223,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,2,2,1,0,0,1,0,1,1,1,0,4,1,0,0,0,1,1,1,0,0,0,0,2,7,2,4,0,19,101,391,146
Beta_1.0,u_004,62,187,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,3,0,2,2,2,0,0,1,0,1,1,2,1,4,1,3,0,2,2,2,1,7,10,122,420,94
Beta_1.0,u_005,55,183,21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,4,1,3,4,3,1,1,5,0,2,1,0,5,2,8,117,375,120
Beta_1.0,u_006,42,188,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,2,1,1,0,0,2,1,0,1,1,0,1,0,1,1,4,0,2,4,2,2,12,106,397,104
Beta_1.0,u_007,52,188,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,5,4,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,3,1,1,0,2,0,0,0,1,0,1,3,0,2,10,103,418,119
Beta_1.0,u_008,71,133,32,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,3,2,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,5,3,0,0,2,1,3,102,430,118
Beta_1.0,u_009,79,144,30,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,3,0,1,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,0,1,1,1,0,0,1,2,0,1,0,2,1,0,2,1,15,111,480,81
Beta_1.0,u_010,62,188,20,1,1,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,2,1,2,1,0,2,1,4,1,7,123,460,76
Beta_1.0,u_011,50,215,24,5,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,1,1,1,0,0,1,3,3,0,1,3,3,134,468,59
Beta_1.0,u_012,55,204,22,3,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,0,1,1,0,0,0,0,0,0,2,0,1,0,0,1,2,0,2,0,1,3,1,0,1,1,1,0,0,0,0,5,0,0,10,136,422,58
Beta_1.0,u_013,62,188,27,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,8,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,2,1,1,0,0,2,3,1,3,0,1,2,1,1,2,1,6,119,400,104
Beta_1.0,u_014,75,192,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,8,1,0,2,0,1,0,0,1,0,0,1,1,0,0,2,1,1,3,4,2,1,2,3,1,4,8,139,350,92
Beta_1.0,u_015,64,201,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,9,1,2,2,2,1,1,1,2,0,0,1,0,1,0,2,1,6,17,155,317,134
Beta_1.0,u_016,62,240,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,1,3,1,0,0,0,1,1,0,3,2,1,0,1,0,1,1,0,1,0,0,0,2,0,9,1,1,2,0,0,3,1,0,13,142,353,124
Beta_1.0,u_017,60,230,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,3,3,1,0,0,1,0,1,2,0,0,4,1,1,0,0,0,3,1,1,0,0,0,1,0,11,5,19,108,430,101
Beta_1.0,u_018,70,191,21,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,0,4,3,1,0,0,1,0,0,3,1,1,4,4,1,1,1,1,4,4,10,123,413,96
Beta_1.0,u_019,82,180,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,1,2,4,2,2,2,5,2,1,2,0,1,1,0,6,13,124,401,109
Beta_1.0,u_020,65,185,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,2,1,0,0,1,0,2,1,1,1,2,5,1,3,4,2,10,106,406,92
Beta_1.0,u_021,61,177,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2,0,0,2,1,1,1,0,0,0,0,1,1,3,2,6,94,435,84
Beta_1.0,u_022,70,146,30,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,2,3,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,3,0,0,3,0,1,1,2,100,456,95
Beta_1.0,u_023,71,145,27,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,2,2,0,0,1,2,2,1,2,7,107,502,73
Beta_1.0,u_024,48,214,22,2,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,2,2,4,2,8,96,476,93
Beta_1.0,u_025,44,219,24,3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,2,3,3,2,2,0,1,1,8,134,430,83
Beta_1.0,u_026,66,199,18,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,3,0,0,2,1,0,1,1,1,0,2,0,0,0,4,9,141,379,96
Beta_1.0,u_027,63,205,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,5,3,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,3,1,0,1,1,1,3,2,0,2,1,1,0,3,11,127,376,86
