Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40
Beta_1.0,u_001,66,221,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,2,0,1,2,0,0,0,0,0,0,0,0,0,5,3,0,1,4,0,1,2,1,2,1,0,1,0,0,1,1,0,0,3,7,2,20,157,350,55
Beta_1.0,u_002,65,225,24,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,2,1,0,0,0,0,0,1,2,1,0,2,1,2,0,1,0,0,0,1,2,5,1,1,2,2,0,1,0,0,0,0,1,0,20,143,341,128
Beta_1.0,u_003,61,224,21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,1,2,2,0,0,1,0,1,0,1,1,3,1,1,0,0,0,1,1,1,0,0,0,0,5,4,2,4,1,20,118,378,140
Beta_1.0,u_004,58,183,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,3,0,1,2,2,1,0,0,1,0,1,2,1,1,5,1,2,1,1,3,2,0,7,10,136,409,91
Beta_1.0,u_005,53,175,31,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,5,1,3,4,2,1,3,3,1,1,1,0,5,2,17,120,372,111
Beta_1.0,u_006,40,185,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,2,2,0,0,1,1,1,1,0,1,1,0,0,1,1,4,1,1,5,1,2,15,121,393,90
Beta_1.0,u_007,52,184,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4,5,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,2,0,2,0,0,0,0,1,1,0,3,0,2,12,115,419,104
Beta_1.0,u_008,70,131,35,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,3,2,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,1,4,3,0,2,0,1,4,115,432,102
Beta_1.0,u_009,75,138,40,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,1,0,2,3,0,0,0,0,1,0,1,1,0,0,2,1,0,1,0,2,1,0,2,1,18,125,473,71
Beta_1.0,u_010,56,187,24,4,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,2,1,0,2,1,0,2,2,3,1,9,137,451,69
Beta_1.0,u_011,50,210,29,5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,2,1,0,0,0,3,2,2,0,1,3,4,149,460,51
Beta_1.0,u_012,54,196,31,3,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,2,2,0,0,4,0,1,0,1,1,1,0,0,0,1,4,0,0,11,152,413,50
Beta_1.0,u_013,60,183,34,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,7,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,2,2,0,1,0,0,4,2,0,3,1,0,2,2,0,2,2,8,140,382,98
Beta_1.0,u_014,71,194,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,8,1,0,2,0,1,0,0,1,0,0,1,0,1,0,1,1,2,1,3,3,2,2,1,3,1,5,10,167,323,88
Beta_1.0,u_015,56,206,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,2,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,4,6,0,2,4,1,0,2,0,2,0,0,1,0,1,0,3,2,4,24,166,306,127
