Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41
Beta_1.0,u_001,58,221,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,2,5,1,1,3,1,0,1,3,0,2,1,0,1,0,0,1,1,0,1,3,7,2,22,171,335,53
Beta_1.0,u_002,56,229,29,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,2,1,0,0,0,0,0,0,2,1,1,2,1,1,1,0,1,0,0,1,1,1,6,0,1,4,0,0,1,0,0,0,1,0,0,27,148,336,121
Beta_1.0,u_003,56,222,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,3,0,3,2,0,0,1,0,0,1,1,1,2,2,1,0,0,0,1,0,1,1,0,0,0,0,7,3,2,3,1,21,128,372,135
Beta_1.0,u_004,55,179,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,2,1,0,2,2,2,0,0,1,0,0,2,2,0,3,3,1,2,1,1,3,2,0,8,12,152,394,87
Beta_1.0,u_005,50,172,37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,4,1,3,2,3,3,0,4,2,1,1,1,0,5,2,20,138,356,106
Beta_1.0,u_006,38,186,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,0,0,0,2,1,0,1,1,0,1,0,0,2,0,4,1,3,3,1,4,15,136,381,85
Beta_1.0,u_007,52,175,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4,5,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,3,1,0,2,0,0,0,0,1,1,2,1,0,2,15,131,412,92
Beta_1.0,u_008,69,119,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,3,2,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,1,1,6,1,0,2,0,1,11,135,413,94
Beta_1.0,u_009,74,135,43,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,1,1,1,0,0,0,3,0,1,0,0,2,1,1,1,1,20,145,459,63
Beta_1.0,u_010,54,186,25,6,1,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,2,1,2,0,1,1,1,3,2,1,12,157,435,62
