Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B2_ 1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46
Beta_1.0,u_001,42,196,62,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,3,1,1,2,2,0,0,2,2,0,2,1,0,1,0,0,0,1,1,0,0,3,4,5,4,46,222,276,34
Beta_1.0,u_002,32,199,80,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,4,1,2,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,0,1,0,0,0,1,2,1,5,0,1,2,2,0,0,1,0,0,0,0,1,0,2,48,186,299,97
Beta_1.0,u_003,39,196,69,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,0,3,1,1,0,0,1,0,1,0,1,1,0,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,6,3,2,4,0,9,30,203,301,114
Beta_1.0,u_004,37,152,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,2,2,2,0,0,0,1,0,0,2,2,0,1,5,0,2,1,1,1,3,2,0,3,8,27,248,297,70
Beta_1.0,u_005,34,152,73,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,4,1,3,2,3,2,1,1,4,1,1,1,1,0,4,3,5,31,221,273,90
Beta_1.0,u_006,29,148,77,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,2,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,3,1,1,5,1,1,8,30,200,330,52
Beta_1.0,u_007,34,140,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,6,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,2,0,0,0,0,0,1,1,0,3,0,1,4,37,213,338,59
Beta_1.0,u_008,58,84,87,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,2,2,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,6,1,0,1,1,0,2,28,214,343,67
Beta_1.0,u_009,69,111,64,9,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,0,0,0,0,1,0,1,1,0,0,0,2,1,0,1,0,1,1,1,0,2,0,4,36,238,373,37
Beta_1.0,u_010,43,175,47,6,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,1,2,0,2,0,1,1,1,1,4,0,4,20,246,359,38
Beta_1.0,u_011,44,180,65,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,1,1,0,0,0,1,3,2,1,0,1,1,3,21,270,345,27
Beta_1.0,u_012,42,164,74,3,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,2,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,2,0,0,1,3,0,1,0,1,1,1,0,0,0,0,1,4,0,0,2,34,241,323,26
Beta_1.0,u_013,45,162,69,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,6,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2,2,0,1,0,0,0,4,2,0,3,0,1,2,0,2,0,2,1,3,27,246,304,49
Beta_1.0,u_014,43,188,52,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,2,6,1,0,2,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,3,4,2,1,1,1,3,1,3,3,34,247,246,60
Beta_1.0,u_015,42,161,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,2,4,0,1,1,1,0,2,0,0,1,0,1,0,1,1,1,4,7,50,227,228,113
Beta_1.0,u_016,29,212,73,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,0,0,0,0,2,0,0,3,2,0,1,0,1,0,1,0,1,1,0,0,0,0,0,2,6,3,1,1,2,0,0,1,2,1,0,4,41,196,305,86
Beta_1.0,u_017,31,213,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,2,1,3,1,0,0,1,0,0,1,2,0,0,2,2,1,1,0,0,0,1,2,2,0,0,0,0,0,1,0,11,4,11,30,223,337,58
Beta_1.0,u_018,29,186,67,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,4,3,1,0,0,0,1,0,0,2,1,2,0,4,4,1,1,1,0,1,3,4,7,29,244,301,62
