Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47
Beta_1.0,u_001,39,183,77,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,4,0,0,1,2,1,1,2,0,0,1,0,0,0,2,0,0,1,2,5,4,5,48,231,269,29
Beta_1.0,u_002,26,200,85,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,1,3,0,0,0,0,0,0,0,2,1,1,0,2,1,0,2,0,1,0,0,0,0,1,2,4,2,0,1,3,1,0,0,1,0,0,0,0,1,0,3,49,202,288,90
Beta_1.0,u_003,36,194,73,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,0,2,2,1,0,0,1,0,0,1,0,1,1,2,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,6,3,2,3,0,11,36,216,286,108
Beta_1.0,u_004,36,147,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,2,1,2,1,0,0,1,0,0,1,1,2,0,3,3,1,2,0,1,2,2,2,0,6,5,32,266,279,65
Beta_1.0,u_005,34,143,81,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,5,1,2,3,2,3,0,3,3,0,1,1,1,0,5,2,6,33,233,260,88
Beta_1.0,u_006,28,140,86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,2,0,0,0,2,1,0,1,0,1,0,1,0,0,1,1,4,0,1,3,3,1,2,8,31,211,319,50
Beta_1.0,u_007,29,136,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,2,0,0,2,0,0,0,0,1,0,1,2,1,0,1,6,37,233,320,55
Beta_1.0,u_008,55,81,92,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,2,2,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,1,0,3,5,0,0,2,0,0,2,32,236,323,61
Beta_1.0,u_009,68,108,67,10,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,1,0,2,0,1,0,2,0,6,36,256,357,33
Beta_1.0,u_010,42,170,53,6,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,2,1,0,2,1,0,1,1,2,3,0,5,21,275,330,36
