Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7
Beta_1.80,M300,44,1,0,0,1,0,0,1,0,0,5,31,276,0
Beta_1.80,M301,50,1,0,0,0,1,0,1,0,0,1,30,279,0
Beta_1.80,M302,51,1,0,0,0,1,0,1,0,0,0,27,278,0
Beta_1.80,M303,67,1,0,0,0,1,0,1,0,0,0,22,258,0
Beta_1.80,M304,67,1,0,0,0,0,0,1,0,0,0,19,232,0
Beta_1.80,M305,74,0,1,0,0,0,0,1,0,0,0,16,206,0
Beta_1.80,M306,74,0,0,1,0,0,0,1,0,0,0,13,191,0
Beta_1.80,M307,78,0,0,1,0,0,0,1,0,0,0,20,156,0
Beta_1.80,M308,67,1,0,0,1,0,0,0,1,0,0,18,137,0
Beta_1.80,M309,83,1,0,0,1,0,0,0,1,0,10,6,122,0
Beta_1.80,M310,72,0,1,0,0,1,0,0,0,11,0,4,109,0
Beta_1.80,M311,89,0,1,0,0,1,0,0,10,1,0,2,90,0
Beta_1.80,M312,94,0,0,1,0,1,0,0,10,0,1,0,82,0
Beta_1.80,M313,85,0,0,0,1,0,0,9,0,0,1,0,65,0
Beta_1.80,M314,92,0,0,0,1,0,0,0,0,0,0,1,45,0
Beta_1.80,M315,83,0,0,0,0,1,0,0,0,0,0,1,26,0
Beta_1.80,M316,87,0,0,0,0,0,0,0,0,0,0,0,10,0
Beta_1.80,M317,81,0,0,0,0,0,0,0,0,0,0,0,15,0
Beta_1.80,M318,80,0,0,0,0,0,0,0,0,0,0,0,5,0
Beta_1.80,M319,73,0,0,0,0,1,0,0,0,0,0,0,53,0
Beta_1.80,M320,73,0,0,0,0,1,0,0,0,0,0,0,89,0
Beta_1.80,M321,67,0,0,0,0,1,0,0,0,0,0,0,113,0
Beta_1.80,M322,50,0,0,0,1,0,0,0,0,0,0,1,139,0
Beta_1.80,M323,44,0,0,0,1,0,0,0,0,0,0,1,161,0
Beta_1.80,M324,35,0,0,1,0,0,0,0,0,0,1,0,180,0
Beta_1.80,M325,21,0,1,0,0,0,0,0,0,1,0,0,198,0
Beta_1.80,M326,13,1,0,0,0,0,0,0,1,0,0,0,221,0
Beta_1.80,M327,14,1,0,0,0,0,0,1,0,0,0,0,238,0
Beta_1.80,M328,9,0,0,0,0,0,0,1,0,0,0,0,235,0
Beta_1.80,M329,8,0,0,0,0,0,0,1,0,0,0,0,265,0
Beta_1.80,M330,5,2,0,0,0,1,0,1,0,0,0,0,285,0
Beta_1.80,M331,4,2,0,0,0,1,0,0,0,0,0,0,309,0
Beta_1.80,M332,4,0,2,0,0,1,0,0,0,0,0,48,274,0
Beta_1.80,M333,4,0,2,0,1,0,0,1,0,0,16,57,266,0
Beta_1.80,M334,31,0,0,1,1,0,0,4,0,0,37,40,267,0
Beta_1.80,M335,42,0,0,2,0,0,0,1,0,0,17,34,268,0
Beta_1.80,M336,57,0,1,0,1,0,0,1,0,0,10,32,274,0
Beta_1.80,M337,51,1,0,0,1,0,0,1,0,0,4,31,272,0
Beta_1.80,M338,53,1,0,0,0,1,0,1,0,0,1,29,277,0
Beta_1.80,M339,56,1,0,0,0,1,0,1,0,0,0,26,279,0
Beta_1.80,M340,63,1,0,0,0,0,0,1,0,0,0,21,248,0
Beta_1.80,M341,68,0,1,0,0,0,0,1,0,0,0,19,229,0
Beta_1.80,M342,73,0,1,0,0,0,0,1,0,0,0,16,199,0
Beta_1.80,M343,73,0,0,1,0,0,0,1,0,0,0,13,186,0
Beta_1.80,M344,73,0,0,1,0,0,0,1,0,0,0,20,155,0
Beta_1.80,M345,80,1,0,0,1,0,0,0,1,0,0,18,132,0
Beta_1.80,M346,66,1,0,0,1,0,0,0,1,0,10,6,118,0
Beta_1.80,M347,87,0,1,0,0,1,0,0,0,11,0,4,106,0
Beta_1.80,M348,77,0,1,0,0,1,0,0,10,1,0,2,93,0
Beta_1.80,M349,82,0,0,1,0,1,0,0,10,0,1,0,81,0
Beta_1.80,M350,80,0,0,0,1,0,0,9,0,0,1,0,63,0
Beta_1.80,M351,94,0,0,0,1,0,0,0,0,0,0,1,46,0
Beta_1.80,M352,73,0,0,0,0,1,0,0,0,0,0,1,25,0
Beta_1.80,M353,86,0,0,0,0,0,0,0,0,0,0,0,12,0
Beta_1.80,M354,80,0,0,0,0,0,0,0,0,0,0,0,14,0
Beta_1.80,M355,75,0,0,0,0,0,0,0,0,0,0,0,3,0
Beta_1.80,M356,74,0,0,0,0,1,0,0,0,0,0,0,45,0
Beta_1.80,M357,72,0,0,0,0,1,0,0,0,0,0,0,85,0
Beta_1.80,M358,67,0,0,0,0,1,0,0,0,0,0,0,114,0
Beta_1.80,M359,59,0,0,0,1,0,0,0,0,0,0,1,138,0
Beta_1.80,M360,38,0,0,0,1,0,0,0,0,0,0,1,158,0
Beta_1.80,M361,31,0,0,1,0,0,0,0,0,0,1,0,182,0
Beta_1.80,M362,23,0,1,0,0,0,0,0,0,1,0,0,204,0
Beta_1.80,M363,16,0,1,0,0,0,0,0,1,0,0,0,221,0
Beta_1.80,M364,13,1,0,0,0,0,0,1,0,0,0,0,239,0
Beta_1.80,M365,9,0,0,0,0,0,0,1,0,0,0,0,239,0
Beta_1.80,M366,8,0,0,0,0,0,0,1,0,0,0,0,264,0
Beta_1.80,M367,5,2,0,0,0,1,0,1,0,0,0,0,289,0
Beta_1.80,M368,5,2,0,0,0,1,0,0,0,0,0,0,307,0
Beta_1.80,M369,5,0,2,0,0,1,0,0,0,0,0,51,266,0
Beta_1.80,M370,4,0,2,0,1,0,0,1,0,0,22,53,269,0
Beta_1.80,M371,12,0,0,1,1,0,0,1,0,0,32,39,268,0
Beta_1.80,M372,27,0,0,1,1,0,0,1,0,0,16,34,269,0
Beta_1.80,M373,37,0,1,0,1,0,0,1,0,0,9,32,269,0
Beta_1.80,M374,54,1,0,0,0,1,0,1,0,0,4,30,271,0
Beta_1.80,M375,58,1,0,0,0,1,0,1,0,0,0,29,273,0
Beta_1.80,M376,61,1,0,0,0,1,0,1,0,0,0,25,274,0
Beta_1.80,M377,58,1,0,0,0,0,0,1,0,0,0,22,253,0
Beta_1.80,M378,72,0,1,0,0,0,0,1,0,0,0,18,221,0
Beta_1.80,M379,67,0,1,0,0,0,0,1,0,0,0,15,200,0
Beta_1.80,M380,72,0,0,1,0,0,0,1,0,0,0,13,187,0
