Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10
Beta_1.80,M300,1.72307526907127,1.76511701566623,1.70921737165024,1.57977256868836,1.41914067673205,1.27314867160169,1.1515231615775,0.966405931682054,0.751179955361032,0.58566537688573,0,0,0,0,0,8.36483472297212e-08,3.72665317207919e-09,1.73244490871348e-16,0,0
Beta_1.80,M301,1.90332711493846,1.9350775152595,1.87772945029407,1.74308942651661,1.56075293827827,1.36122716261881,1.17151775467855,1.01850448783552,0.808653090508582,0.652898621148579,0,0,0,0,0,1.58639324992937e-203,1.75568809785154e-66,5.96198717464428e-122,0,0
Beta_1.80,M302,2.02650902220278,2.0558159362079,2.00496242477859,1.87845804234617,1.69614838284937,1.48499505090937,1.26920082398253,1.06971983117649,0.878752719099165,0.714047237427512,0,0,0,0,0,0,1.92874984796178e-25,5.74536771523441e-69,0,0
Beta_1.80,M303,2.08734626135084,2.12155923520331,2.08300672193951,1.9714188321323,1.79934279337939,1.58855437807174,1.36316188545432,1.14316083650795,0.9412480829934,0.763180541181085,0,0,0,0,0,0,1.1108996538246e-05,2.48912125332879e-42,0,0
Beta_1.80,M304,2.08920080521868,2.1325058640963,2.10999211991653,2.01734590884607,1.8612134844844,1.6584624856392,1.43159275057433,1.20258129667781,0.988074326059229,0.797584082366091,0,0,0,0,0,0,2.57675710915756e-21,8.36483472297421e-08,2.37563720854606e-120,0
Beta_1.80,M305,2.0042664018973,2.05651120930931,2.05112024890563,1.97972375554212,1.84295369441897,1.65254448215756,1.42903948677321,1.19601170256713,0.973790076483696,0.775594781081899,0,0,0,0,0,0,1.92874984796178e-25,6.57285286165362e-05,2.37563720854606e-120,0
Beta_1.80,M306,1.86040085250847,1.91424353606803,1.92221063900103,1.87304168733533,1.76010348349427,1.58755577286664,1.37229166002141,1.13942266045237,0.913873671618316,0.713251017785473,0,0,0,0,0,0,0.000135335283236583,5.11442373180739e-24,2.1512350049889e-259,0
Beta_1.80,M307,1.7390117070451,1.7773224668767,1.78324256657286,1.75072156187309,1.66737241266158,1.52367777583731,1.32559021646095,1.09762385227992,0.87188727755821,0.672883068745847,0,0,0,0,0,0,1.6140558480085e-34,6.57285286165362e-05,5.16908456462896e-117,0
Beta_1.80,M308,1.60696402641785,1.62491281807503,1.60166575152418,1.55033513398835,1.47804957580434,1.36952515130063,1.20234475308456,0.986250688934484,0.76590055835212,0.579969297180571,0,0,0,0,0,2.21310009013986e-306,0,1.65994042727946e-22,5.16908456462896e-117,0
Beta_1.80,M309,1.44800971122036,1.47338831048039,1.44383934197507,1.3625451970771,1.2476955547109,1.13490666292978,1.01536911561874,0.829542411864055,0.624365114375701,0.470347599309003,0,0,0,0,0,0,1.34619984616076e-118,4.4637675918103e-23,5.16908456462896e-117,0
