Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15
Beta_1.80,M300,1.72307526907127,1.76144300762871,1.75873078924135,1.71611489954006,1.64160463377228,1.54650092088636,1.44232543733198,1.34141320688307,1.25559407262871,1.1797400539537,1.08324230746137,0.950476818765666,0.80857915154176,0.68634010549621,0.58566537688573,0,0,0,0,0,0,0,0,2.89778274286733e-08,3.93080548596832e-17,0.000960005441285466,0.00077483751006866,0,0,0
Beta_1.80,M301,1.90332711493846,1.9337908050479,1.92773961242983,1.88466605173954,1.80857548603132,1.70689304792689,1.58847650831456,1.46159687042951,1.33264959168955,1.20826342468639,1.11132212519819,1.00289806729033,0.860491689359545,0.750272212216822,0.652898621148579,0,0,0,0,0,0,0,0,2.46832774444077e-62,5.88004762738071e-07,1.49284032988078e-08,1.61109095414498e-87,0,0,0
Beta_1.80,M302,2.02650902220278,2.05424922443327,2.04959956137721,2.01125698578885,1.94094415877618,1.84320724509249,1.72459818108084,1.59250394959372,1.45398064807018,1.31489810966603,1.17954371039435,1.05987487285363,0.929739136415066,0.817466319075161,0.714047237427512,0,0,0,0,0,0,0,0,4.30893142827005e-167,2.53055060030793e-29,7.33845797716738e-05,6.70050177183047e-97,0,0,0
Beta_1.80,M303,2.08734626135084,2.11729282673612,2.11822475960102,2.08825484737406,2.02765541417366,1.93899475371821,1.8268632573429,1.69724854134907,1.55671511207119,1.41158571004901,1.26729773140732,1.12803506225985,0.996646040173056,0.874785260501412,0.763180541181085,0,0,0,0,0,0,0,0,6.86670048429984e-292,8.52612544772503e-101,1.00984423411286e-06,4.38289392121468e-93,0,0,0
Beta_1.80,M304,2.08920080521868,2.12408487553185,2.1331635273835,2.11393392944882,2.06547639728767,1.98879324280799,1.88685452383183,1.76431898030204,1.62698307303818,1.48107977320253,1.33257884993595,1.18662458367753,1.04719507088045,0.917001014098705,0.797584082366091,0,0,0,0,0,0,0,0,0,1.60993438774572e-53,0.000230066298993828,1.33188434182041e-13,1.60435061624139e-45,2.28648984586959e-266,0
Beta_1.80,M305,2.0042664018973,2.04385149890253,2.06134285584273,2.05363693874914,2.0186142317497,1.95568729856683,1.86616600979485,1.75331971067204,1.62209297999628,1.47852692839176,1.32901750281222,1.17957828081905,1.03525816658802,0.899805516796997,0.775594781081899,0,0,0,0,0,0,0,0,0,2.53055060030793e-29,1.30819040778191e-170,2.51304891185857e-05,1.60435061624139e-45,2.28648984586959e-266,0
Beta_1.80,M306,1.86040085250847,1.89968772721746,1.92171147821169,1.92341308348599,1.90172384408406,1.85426397755402,1.78012729162902,1.68050078789208,1.5588871021169,1.42081474746737,1.27309146356691,1.12280701747969,0.976360342139742,0.838749776054508,0.713251017785473,0,0,0,0,0,0,0,0,0,7.96645334241854e-25,1.18136215479647e-28,2.51304889853972e-05,4.7832744190911e-94,0,0
Beta_1.80,M307,1.7390117070451,1.76727569056607,1.78243465641348,1.78397672473912,1.77008007349596,1.73760036894992,1.68286980946866,1.60316959794465,1.49831523126114,1.37161241657625,1.2296662560886,1.08106178219319,0.934466063620706,0.796918413693166,0.672883068745847,0,0,0,0,0,0,0,0,0,1.11360854282867e-237,4.83321973897292e-48,1.26116637690163e-14,1.58849493072184e-43,2.36720848345797e-261,0
Beta_1.80,M308,1.60696402641785,1.62370742697761,1.62199770216682,1.60443031433233,1.5749138401776,1.53674912664142,1.48998924377415,1.43002960634107,1.34950734895273,1.24333339965154,1.11354572983599,0.970052857538374,0.826503069978759,0.694471816708325,0.579969297180571,0,0,0,0,0,0,0,0,6.43165291042349e-123,1.19494717103164e-319,4.83321973897292e-48,1.26116635799606e-14,1.58849493072184e-43,2.36720848345797e-261,0
Beta_1.80,M309,1.44800971122036,1.47051315023042,1.47059326338744,1.44776310131222,1.40304497476986,1.33969939178079,1.26481835929549,1.18931490403343,1.11972439350336,1.04525845380874,0.944386963175381,0.814269231370229,0.679096578016863,0.562841791404079,0.470347599309003,0,0,0,0,0,0,0,0,0,0,9.66955628708105e-51,1.49284159104714e-08,1.58849493072184e-43,2.36720848345797e-261,0
