Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20
Beta_1.80,M300,1.72307526907127,1.75519152939011,1.76539382002837,1.75289104033259,1.71924446025602,1.66791580083654,1.60339724342976,1.53036147516039,1.45336987987859,1.37734606138765,1.3076906187186,1.24751403677571,1.19216964519824,1.12842074839824,1.04462904836644,0.942889433709758,0.837371615803298,0.741146582799902,0.658094061630568,0.58566537688573,0,0,0,0,0,0,0,0,0,0,1.78899759591405e-198,1.76189339348381e-05,4.87273585220433e-06,0.000392080505680877,5.00727336029166e-16,8.93122010112193e-05,4.80804659470559e-158,0,0,0
Beta_1.80,M301,1.90332711493846,1.9291875834003,1.93561626957542,1.92167828194791,1.88780879367477,1.83576954559988,1.76837810230194,1.68908005736188,1.60147073652543,1.50887431963588,1.41405838974394,1.3191606184528,1.2269346908708,1.14744592211918,1.0841372294179,0.995279107450639,0.887799017241748,0.79972987965477,0.723871847097608,0.652898621148579,0,0,0,0,0,0,0,0,0,0,0,9.23826447220237e-25,0.000762259565588218,1.36830459762397e-06,8.46707088028264e-38,1.11711000908004e-61,4.80804659470559e-158,0,0,0
Beta_1.80,M302,2.02650902220278,2.04997077940371,2.05623229659311,2.04431583918325,2.01410009901552,1.96637602937751,1.90278970927172,1.82568108795374,1.73784751919854,1.6422738493418,1.54187361935079,1.43927880857677,1.33670131872549,1.23587246830569,1.13805278929716,1.05492061649211,0.95452837628152,0.869549671999613,0.789390497997443,0.714047237427512,0,0,0,0,0,0,0,0,0,0,0,4.70632775537336e-98,3.0334252595575e-12,2.85591381667382e-28,4.50866119643756e-08,1.25116953449857e-69,9.61609318941119e-158,0,0,0
Beta_1.80,M303,2.08734626135084,2.11210446659376,2.12151271433152,2.11450873992958,2.09060810193648,2.04998986041204,1.9935203614058,1.92270911834239,1.83960148878843,1.74662271841185,1.64639492263532,1.54155137829963,1.43457080117107,1.32764881874252,1.22261610137088,1.12090439576517,1.02355466427187,0.931256799781325,0.84440839228738,0.763180541181085,0,0,0,0,0,0,0,0,0,0,0,4.16153822746641e-197,2.83777337831344e-31,4.18239016583854e-33,1.50981793388255e-49,1.25116953449857e-69,7.21206989205839e-158,0,0,0
Beta_1.80,M304,2.08920080521868,2.11727553193345,2.13178663540729,2.1315252821943,2.11567445955858,2.08391576623573,2.03650079048792,1.97427485206779,1.89864729138874,1.81151015879192,1.71511462634471,1.61192028576232,1.50443564931386,1.39506817921072,1.28599925415972,1.17909443591109,1.07585336581504,0.977397798309754,0.88449164820285,0.797584082366091,0,0,0,0,0,0,0,0,0,0,0,0,9.65697197067646e-10,1.56029122283929e-12,4.93103444659125e-63,1.42759222337672e-10,4.22109941825888e-23,3.31853530266368e-138,0,0
Beta_1.80,M305,2.0042664018973,2.03543598028185,2.05509692489673,2.0619042946867,2.05471066851556,2.03269633256766,1.99548968573947,1.94325904935331,1.87675974741323,1.79732625823838,1.70680737996338,1.60745110543567,1.50175350566214,1.39229088100251,1.28155588478658,1.17181618871371,1.06500924532316,0.962680050409698,0.865961952951495,0.775594781081899,0,0,0,0,0,0,0,0,0,0,0,0,4.19833699007872e-97,1.79233576769391e-143,1.28372554472526e-100,0.000845757597702443,4.22109941825888e-23,3.31853530266368e-138,0,0
Beta_1.80,M306,1.86040085250847,1.89090611358468,1.91245233481582,1.92386528534801,1.92388138502167,1.91126671050507,1.88497589515372,1.84432829134751,1.78917118721478,1.71999840932125,1.63799834412273,1.54501740571287,1.44344060818348,1.33600643515286,1.22558490971942,1.11495301477877,1.00659955672381,0.902583289481071,0.804456158418473,0.713251017785473,0,0,0,0,0,0,0,0,0,0,0,0,2.58122672426334e-88,8.7273766618854e-57,2.33500153489934e-10,0.00084575745494542,4.95195292034891e-45,5.19414163949954e-299,0,0
Beta_1.80,M307,1.7390117070451,1.76111042007184,1.77609561479793,1.78392997521913,1.78425825392296,1.77630578688928,1.75888318262979,1.73052757809996,1.68977546121048,1.63551978336766,1.56736945332537,1.48591655801214,1.39283335679675,1.29076394461562,1.18303077815894,1.0732251764356,0.964777197838989,0.860596785538488,0.762848888253514,0.672883068745847,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03112689889424e-05,3.11891826783258e-10,1.94904319923129e-11,9.67059148054381e-22,1.27579447808987e-134,0,0
Beta_1.80,M308,1.60696402641785,1.6211516138366,1.62508277471754,1.619497145876,1.60568888129065,1.58528492060224,1.55979423693266,1.53000065681133,1.49541719601522,1.45411029365075,1.40313560711803,1.3395739851961,1.26182249059063,1.17058495191737,1.06908494082975,0.962379655738433,0.856082802527892,0.755051937260126,0.662533870983531,0.579969297180571,0,0,0,0,0,0,0,0,0,0,0,2.53963646656805e-65,3.4790493791244e-177,1.48814977897212e-298,3.11891826783258e-10,1.94904319923129e-11,9.67059148054381e-22,1.27579447808987e-134,0,0
Beta_1.80,M309,1.44800971122036,1.46671493813275,1.47340749344285,1.46768161804814,1.44952682683333,1.41939208919145,1.37834193110635,1.32839367125135,1.27293078270749,1.21652677087319,1.16310329855224,1.11248508979768,1.05828126722661,0.991005380333494,0.90568310633558,0.80701088793213,0.706522652359036,0.614805787865997,0.536380582218664,0.470347599309003,0,0,0,0,0,0,0,0,0,4.82336377350253e-91,4.10738950154959e-151,0,0,2.25490443740127e-16,1.28312724082114e-103,0.000364329996824651,9.67059148054381e-22,1.27579447808987e-134,0,0
