Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B2_1,B2_2,B2_3,B2_4
Beta_1.80,M300,1.72307526907127,1.57977256868836,1.1515231615775,0.58566537688573,0,0,3.72665317208125e-09,0
Beta_1.80,M301,1.90332711493846,1.74308942651661,1.17151775467855,0.652898621148579,0,0,0,0
Beta_1.80,M302,2.02650902220278,1.87845804234617,1.26920082398253,0.714047237427512,0,0,1.92874984796392e-25,0
Beta_1.80,M303,2.08734626135084,1.9714188321323,1.36316188545432,0.763180541181085,0,0,1.11089965382423e-05,0
Beta_1.80,M304,2.08920080521868,2.01734590884607,1.43159275057433,0.797584082366091,0,0,2.576757109155e-21,0
Beta_1.80,M305,2.0042664018973,1.97972375554212,1.42903948677322,0.775594781081899,0,0,1.92874984796392e-25,0
Beta_1.80,M306,1.86040085250847,1.87304168733533,1.37229166002141,0.713251017785473,0,0,0.000135335283236613,0
Beta_1.80,M307,1.7390117070451,1.75072156187309,1.32559021646095,0.672883068745847,0,0,1.61405584800637e-34,0
Beta_1.80,M308,1.60696402641785,1.55033513398835,1.20234475308456,0.579969297180571,0,0,0,0
Beta_1.80,M309,1.44800971122036,1.3625451970771,1.01536911561874,0.470347599309003,0,0,1.34619984615732e-118,0
Beta_1.80,M310,1.2526494165302,1.1974484060224,0.805150214568403,0.400165224741654,0,0,0,0
Beta_1.80,M311,1.03074094846179,1.00353137375711,0.689868335806144,0.364640446700176,0,0,0,0
Beta_1.80,M312,0.849662568938309,0.813601387292543,0.644108421346852,0.341590393242419,0,0,0,0
Beta_1.80,M313,0.691107988108145,0.588987546297301,0.505703983559433,0.233688420478436,0,0,0,0
Beta_1.80,M314,0.676256724528008,0.563560471424443,0.471380468028546,0.238677708976913,0,0,0,0
Beta_1.80,M315,0.690821569012906,0.572238123106196,0.419004579279756,0.247657006251361,0,0,0,0
Beta_1.80,M316,0.122638786035011,5.83363513649956e-08,6.82349479771344e-28,1.61311170581058e-61,0,0,0,0
Beta_1.80,M317,0.16307195164518,0.000121206850862312,1.74307701173198e-14,4.33439365862691e-31,0,0,0,0
Beta_1.80,M318,0.21823353592735,0.00525534556080522,4.36909543440512e-08,1.17429943614993e-16,0,0,0,0
Beta_1.80,M319,0.853787524095633,0.668227395307642,0.503129958583821,0.328555646061496,0,0,0,0
Beta_1.80,M320,0.8994612890512,0.712764963274675,0.505196931802327,0.328562089749187,0,0,0,0
Beta_1.80,M321,0.955101109149912,0.780662851895707,0.544128887543282,0.32803434720951,0,0,0,0
Beta_1.80,M322,1.01883674943077,0.862924078006428,0.66955700702716,0.338442069977632,0,0,0,0
Beta_1.80,M323,1.08937471885355,1.01623684905044,0.80335753089368,0.386069472247736,0,0,0,0
Beta_1.80,M324,1.2191057436805,1.25231375955094,0.947089665171025,0.476574203606514,0,0,0,0
Beta_1.80,M325,1.44576731692482,1.46172230656122,1.08943713653514,0.589905209279685,0,0,0,0
Beta_1.80,M326,1.66868149757833,1.62430861499091,1.21929898503117,0.705845970341262,0,0,0,0
Beta_1.80,M327,1.83337111493786,1.74259775906222,1.32455584087033,0.804999268550578,0,0,0,0
Beta_1.80,M328,1.92527458317555,1.81040687608003,1.3892452804918,0.867546177018438,0,0,0,0
Beta_1.80,M329,1.94195398278954,1.82137810430128,1.4006624467822,0.878720626032956,0,0,0,0
Beta_1.80,M330,1.89230509073082,1.77598012312157,1.35661893497365,0.836011995240839,0,0,0,0
Beta_1.80,M331,1.79647795944909,1.69300607020491,1.27780083362889,0.761101246439718,0,0,0,0
Beta_1.80,M332,1.65423629093112,1.57208556830624,1.19259413158198,0.659760651133709,0,0,0.000753649606649356,0
Beta_1.80,M333,1.46800725074907,1.41299916732957,1.13512495043942,0.548761523919692,0,0,0.000606530674965511,0
