Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B2_1,B2_2,B2_3,B2_4,B2_5
Beta_1.80,M300,1.72307526907127,1.6821685248141,1.34141320688307,1.02044306848682,0.58566537688573,0,0,0,6.70925255805027e-07,0
Beta_1.80,M301,1.90332711493846,1.85034307659635,1.46159687042951,1.06591384890836,0.652898621148579,0,0,0,0.000606530659712634,0
Beta_1.80,M302,2.02650902220278,1.97987185659109,1.59250394959372,1.11421982410197,0.714047237427512,0,0,0,2.28973484564556e-14,0
Beta_1.80,M303,2.08734626135084,2.06167588748407,1.69724854134907,1.19682970317208,0.763180541181085,0,0,0,1.11089965382423e-05,0
Beta_1.80,M304,2.08920080521868,2.0933431924581,1.76431898030204,1.25900511192063,0.797584082366091,0,0,0,0,0
Beta_1.80,M305,2.0042664018973,2.03961833591909,1.75331971067204,1.25394569090686,0.775594781081899,0,0,0,1.38634329364119e-52,0
Beta_1.80,M306,1.86040085250847,1.91566655346199,1.68050078789208,1.1978432060905,0.713251017785473,0,0,0,1.52299797447127e-11,0
Beta_1.80,M307,1.7390117070451,1.7791290043966,1.60316959794465,1.15563378263054,0.672883068745847,0,0,0,1.75573857033041e-66,0
Beta_1.80,M308,1.60696402641785,1.59091426078579,1.43002960634107,1.04267590124479,0.579969297180571,0,0,0,1.38634329364121e-52,0
Beta_1.80,M309,1.44800971122036,1.42800363010759,1.18931490403343,0.881877841592782,0.470347599309003,0,0,0,1.92874984796392e-25,0
Beta_1.80,M310,1.2526494165302,1.25731184289627,1.01074344216745,0.727261640774667,0.400165224741654,0,0,0,0.000606866122340537,0
Beta_1.80,M311,1.03074094846179,1.04672258610683,0.867236165058016,0.601168937447794,0.364640446700176,0,2.74878500791051e-46,0,0.000606530659735531,0
Beta_1.80,M312,0.849662568938309,0.817991089671166,0.778432474246842,0.55691882789254,0.341590393242419,0,0,0,3.35462627902512e-07,0
Beta_1.80,M313,0.691107988108145,0.594333179681149,0.598102977635254,0.418748594288967,0.233688420478436,0,0,0,1.0015931413241e-161,0
Beta_1.80,M314,0.676256724528008,0.589856415624069,0.500008402693087,0.391036314053524,0.238677708976913,0,0,0,0,0
Beta_1.80,M315,0.690821569012906,0.598254271306833,0.502945487191792,0.376206998591719,0.247657006251361,0,0,0,0.00160653065973553,0
Beta_1.80,M316,0.122638786035011,4.06603203532765e-05,3.2491840809184e-16,5.14365935291202e-35,1.61311170581058e-61,0,0,0,0,0
Beta_1.80,M317,0.16307195164518,0.00307248351263219,1.01787412707037e-08,5.29875296293263e-18,4.33439365862691e-31,0,0,0,0,0
Beta_1.80,M318,0.21823353592735,0.0278790683467422,4.13805988180413e-05,6.68287959142962e-10,1.17429943614993e-16,0,0,0,0,0
Beta_1.80,M319,0.853787524095633,0.720954397056322,0.584923080353675,0.459677428154947,0.328555646061496,0,0,0,0,0
Beta_1.80,M320,0.8994612890512,0.777537352771502,0.599065291292071,0.465123112485138,0.328562089749187,0,0,0,0,0
Beta_1.80,M321,0.955101109149912,0.848346484496574,0.641021674565272,0.523430808615184,0.32803434720951,0,0,0,0,0
Beta_1.80,M322,1.01883674943077,0.926460612426369,0.743680760383153,0.593248260528185,0.338442069977632,0,0,0,0,0
Beta_1.80,M323,1.08937471885355,1.04354522453618,0.948674315995958,0.694902676083734,0.386069472247736,0,0,0,0,0
Beta_1.80,M324,1.2191057436805,1.26784156399835,1.14815087005583,0.824578176619391,0.476574203606514,0,0,0,1.0015931413241e-161,0
Beta_1.80,M325,1.44576731692482,1.4957505421407,1.31544101865484,0.961176053346847,0.589905209279685,0,0,0,1.0015931413241e-161,0
Beta_1.80,M326,1.66868149757833,1.67460977569996,1.45465569485718,1.08916279004239,0.705845970341262,0,0,0,5.04724755814156e-71,0
Beta_1.80,M327,1.83337111493786,1.80173823423589,1.56264885859144,1.1940968529012,0.804999268550578,0,0,0,6.44733204401993e-156,0
Beta_1.80,M328,1.92527458317555,1.87281969606208,1.62741281666962,1.2589833512718,0.867546177018438,0,0,0,6.44733204401993e-156,0
Beta_1.80,M329,1.94195398278954,1.88390722743494,1.63852797667519,1.27049259703104,0.878720626032956,0,0,0,1.72361031457022e-68,0
Beta_1.80,M330,1.89230509073082,1.83667723980118,1.59469590632409,1.22624272470131,0.836011995240839,0,0,0,8.14471726536132e-82,0
Beta_1.80,M331,1.79647795944909,1.74983703802724,1.51552409044705,1.15396157306861,0.761101246439718,0,0,0,0.00100000000000001,0
Beta_1.80,M332,1.65423629093112,1.62244191962947,1.40200298530051,1.09261946562386,0.659760651133709,0,0,0,0,0
Beta_1.80,M333,1.46800725074907,1.45171308583087,1.29148529030264,0.996106645129658,0.548761523919692,0,0,0,0,0
Beta_1.80,M334,1.27570198889835,1.29347909622351,1.2516677246142,0.908240328431387,0.473152731711562,0,0,0.00014677974240277,0,0
Beta_1.80,M335,1.29469304081087,1.34909268952871,1.30120007531651,0.933664016445273,0.486217165035206,0,0,0,0,0
Beta_1.80,M336,1.49886741311115,1.4895357825459,1.30891272054973,0.97323014224153,0.525973914083065,0,0,1.38389652673674e-90,3.35462627902512e-07,0
Beta_1.80,M337,1.72562655835362,1.6846372287305,1.33914034462989,1.01958311932931,0.587855777368208,0,0,0,1.26641655490995e-17,0
Beta_1.80,M338,1.90676850828865,1.85354361232813,1.46484085819405,1.06317336165038,0.656077207227014,0,0,0,1.38389652673674e-90,0
Beta_1.80,M339,2.02695193912756,1.98070227944875,1.59316657113495,1.11539502019347,0.715820659054867,0,0,0,3.69388306848747e-199,0
Beta_1.80,M340,2.08458415092057,2.05953571604068,1.69504860378083,1.19459975241142,0.761382382531807,0,0,0,1.38634329364119e-52,0
Beta_1.80,M341,2.08524238057662,2.09023057150918,1.76155423892362,1.25596687035747,0.794665863417433,0,0,0,0,0
Beta_1.80,M342,1.99410712756171,2.03019702107874,1.74413240032046,1.24421330540718,0.766414306874277,0,0,0,0,0
Beta_1.80,M343,1.85214476948342,1.90666573124662,1.67265959834621,1.18991908016925,0.70597695864817,0,0,0,0,0
Beta_1.80,M344,1.7289794558808,1.76725425958694,1.59201197788036,1.14536557575019,0.663838786974141,0,0,0,0,0
Beta_1.80,M345,1.59302220652944,1.57630244436791,1.41393055378312,1.02802819247096,0.568473299993524,0,0,0,0,0
Beta_1.80,M346,1.4327837621861,1.41277182753489,1.17207131041086,0.867700352329486,0.461741846166495,0,0,2.74878778059684e-46,5.04724755814156e-71,0
Beta_1.80,M347,1.23485331868407,1.23891499720893,0.993539673296491,0.715461013854195,0.395751373892035,0,0,0,1.0015931413241e-161,0
Beta_1.80,M348,1.01476909095952,1.02865024242874,0.857902320482015,0.598307959409671,0.364029697554699,0,0.0018195919791379,0,1.9185556689349e-139,0
Beta_1.80,M349,0.840330150253542,0.807334815649891,0.778169538196364,0.558099196842164,0.34192580057567,0,0,0,1.0015931413241e-161,0
Beta_1.80,M350,0.685967360097326,0.594293606496748,0.597244889975162,0.4199394052668,0.234750665558754,0,0,0,1.52299797447127e-11,0
Beta_1.80,M351,0.676193207502635,0.590906654748784,0.500224020111031,0.392204170975235,0.239796370680239,0,0,0,0.000606530674942614,0
Beta_1.80,M352,0.690821569012906,0.598254271306833,0.502945487191792,0.375547111009,0.247657006251361,0,0,0,0,0
Beta_1.80,M353,0.121525499707539,4.06603203532339e-05,3.2491840809184e-16,5.14365935291202e-35,1.61311170581058e-61,0,0,0,0,0
Beta_1.80,M354,0.16307195164518,0.00307248351263219,1.01787412707037e-08,5.29875296293263e-18,4.33439365862691e-31,0,0,0,0,0
Beta_1.80,M355,0.220249126758319,0.0292481027088761,4.91754767830365e-05,9.80896195067787e-10,2.32124569243311e-16,0,0,0,0,0
Beta_1.80,M356,0.855791831179922,0.723081549576464,0.586176770719102,0.460887326490111,0.329734959125314,0,0,0,0,0
Beta_1.80,M357,0.90046397859715,0.778746819282246,0.599565422473036,0.462054757778321,0.328562858843473,0,0,0,0,0
Beta_1.80,M358,0.955038980767749,0.848931713043022,0.641399134648602,0.517165366026509,0.328022151040332,0,0,0,0,0
Beta_1.80,M359,1.01877810383574,0.926836775177244,0.733091696603355,0.588130951582981,0.337045274696822,0,0,0,0,0
Beta_1.80,M360,1.0913979686413,1.03633284198783,0.937119543858086,0.692989370671883,0.384739678189454,0,0,0,0,0
Beta_1.80,M361,1.20505463241718,1.24759781849405,1.1372374790776,0.818907714719308,0.471286534094207,0,0,0,1.0015931413241e-161,0
Beta_1.80,M362,1.42097087777865,1.47689723799347,1.30502722579263,0.953254452620605,0.582333728830938,0,0,0,1.0015931413241e-161,0
Beta_1.80,M363,1.64891267523718,1.66198204343091,1.44727751243892,1.08308332302338,0.699755718879417,0,0,0,5.04724755814156e-71,0
Beta_1.80,M364,1.81659031997419,1.79056200202556,1.55464545745809,1.1868143023946,0.797790375707817,0,0,0,6.44733204401993e-156,0
Beta_1.80,M365,1.91476708112033,1.86569321007629,1.62211339788261,1.25412644767477,0.86271251091963,0,0,0,6.44733204401993e-156,0
Beta_1.80,M366,1.93184121231691,1.87610856648807,1.63175208995875,1.26382477773753,0.872191157394809,0,0,0,6.44733204401993e-156,0
Beta_1.80,M367,1.87943601574898,1.82753394545664,1.58669795707822,1.21835734017991,0.828383391094695,0,0,0,2.57220937264242e-59,0
Beta_1.80,M368,1.78015371278427,1.7369411242942,1.50434310747982,1.14304694007247,0.750815899076617,0,0,0,0,0
Beta_1.80,M369,1.63393852153787,1.60594097031452,1.38803055093984,1.08031253124845,0.647946287490818,0,0,0,0.000135335283236613,0
Beta_1.80,M370,1.44365972933039,1.43072524109172,1.27794248404397,0.982897919245523,0.537408022348035,0,0,0,0,0
